title,abstract
"（同時通訳付）Revolutionizing Wireless Communication with AI-RAN: Vision, Use-cases & Platform [SJP1100]","この講演では、ソフトバンクのAI-RANビジョン、その重要性、現実的なユースケースについて説明し、その後にAI-RAN製品の詳細が議論されます。次に、NVIDIAがアクセラレーテッド コンピューティングハードウェアとソフトウェアを使用してソフトバンクのビジョンをどのように支援するか、さらにデジタルツイン、NIM、およびその他のプラットフォームについて説明します。AI-RAN技術の未来について学ぶこの機会をお見逃しなく。

Join us for an insightful exec panel discussion where SoftBank and NVIDIA will demystify pragmatic AI-RAN. The talk will cover SoftBank's AI-RAN Vision, its importance, and realistic use cases, followed by details of AI-RAN products. NVIDIA will then explain how to double down SoftBank’ vision with its accelerated computing hardware and software, not to mention Digital Twin, NIM, and other platforms. Don't miss this opportunity to learn about the future of AI-RAN technology."
（同時通訳付）量子グランドチャレンジのための AI スーパーコンピューティング AI Supercomputing for Quantum's Grand Challenges [SJP1049],"量子コンピューティングは、産業に革命をもたらし、ハイパフォーマンス・コンピューティングの新時代を切り開く可能性を秘めている。しかし、この可能性を実現するには、AIスーパーコンピューティングがアルゴリズム研究に取り組み、有用な量子デバイスの開発を阻む設計、制御、統合の課題を克服できるかどうかにかかっている。本講演では、GPU アクセラレーテッドシミュレーション、AI  強化アルゴリズム、緊密に連携した HPC 制御システムによって実現される、大規模で商業的に利用可能なハイブリッド量子デバイスの将来像を明らかにする。

Quantum computing has the potential to revolutionize industries and usher in a new era of high-performance computing. However, realizing this potential hinges on AI supercomputing's ability to tackle algorithm research and overcome the design, control, and integration challenges that obstruct the development of useful quantum devices. This talk unveils the future landscape of large-scale, commercially viable, hybrid quantum devices, enabled by GPU-accelerated simulations, AI-enhanced algorithms, and tightly coupled HPC control systems."
日本語に強い大規模言語モデルのレシピ [SJP1062],OpenAI の ChatGPT のような汎用的なチャットボットはどのように作られているのか？　これは、世界中の人工知能の研究者の多くが２年前に抱いた疑問であろう。公開されている情報から大規模言語モデルの作り方は推測できたが、果たして自分たちで作ることができるのか？　東京科学大学（旧・東京工業大学）と産業技術総合研究所の研究チームで大規模言語モデル Swallow の研究・開発を始めたのは、これらの問いをいち早く明らかにし、日本の大規模言語モデルの研究開発の底上げをすることが狙いであった。本講演では、Llama 3 や Mistral の継続事前学習で大規模言語モデルを構築し、多くの性能評価実験を行った経験を踏まえて、日本語に強い大規模言語モデルのレシピ、およびその将来像に迫る。
日立 生成 AI 活用の実践：業務特化型 LLM の構築・運用によるビジネス変革 presented by 株式会社日立製作所 [SJP1102],"2024年に入り、多くの企業で生成AIの試行から実用への移行が進んでいます。日立では、社内外で1,000件以上の生成AI活用ユースケースを蓄積してきました。この豊富な知見と技術を活かし、業務特化型のLLM（大規模言語モデル）を構築・運用することで、汎用LLMとRAGだけでは専門知識の活用が難しい業務にも対応するなど、生成AI活用での新たな取組みを推進しています。本講演では、お客様のデータをお預かりし、日立のノウハウと環境を活用して業務に最適化したLLMを作成・提供する、まさに「LLMの工場」をめざした日立ならではの取り組みを中心にご紹介します。生成AIがもたらす価値を引き出し、ビジネス変革を実現する方法をお伝えします。"
Hopper および Grace Hopper と InfiniBand NDR を採用した最新スーパーコンピュータのデザイン [SJP1043],"このパネルディスカッションでは、日本を代表するスーパーコンピューティングセンターにより最新のGPU+InfiniBandシステムについて議論し、各センターの知見を共有します。
筑波大学と東京大学が共同で運営する最先端共同HPC基盤施設(JCAHPC)からは日本最大のGH200システムMiyabiの評価、長年GPUスパコンを運用している東京科学大学(旧: 東京工業大学)からはTSUBAME4.0におけるMIGを用いた効率的なジョブスケジューリングシステム、高性能通信技術の取り組みを続けている九州大学からは10月に本運用を開始した玄界におけるSHARP技術の評価、について実例を交えて紹介し、スーパーコンピュータがどのようにデザインされているかを探ります。"
Omniverse Configurator Extension で作る 三協フロンテア・ユニットハウスのコンフィギュレーター構築 [SJP1042],Omniverse の新たな機能として、コンフィギュレーター構築の為のエクステンションがリリースされました。この拡張機能を使用してコンフィギュレーターを構築すると制作効率が良くなり、工数が圧倒的に短縮されます。実際に USD データを構築していく手順を踏まえ、リアルタイムコンフィギュレーターからどのような恩恵が受けられるのか、について詳しく解説します。
TensorRT-LLMによる推論高速化 [SJP1058],"LLMの利用の裾野の広がりともに、独自に構築したモデルを効率的にサービングするために、様々な推論ライブラリが利用されるようになった。
それら推論ライブラリの中でも、NVIDIAが提供するTensorRT-LLMは推論処理効率化のための技術が幅広く実装されており、さらにパラメータをきめ細かく設定することが可能になっている。
本講演では日本語LLMの評価を目的に構築されたllm-jp-evalを題材に、バッチ推論や量子化などの各種設定が推論速度や出力内容に与える影響についての評価結果を報告する。"
"エンタープライズ及びネットワークにおける富士通の AI 戦略, presented by 富士通株式会社 [SJP1071]",デジタル変革の時代において、富士通は様々な業界でイノベーションと効率化を推進するためAI戦略を展開しています。このセッションでは、生成AIの業務適用と、AI Radio Access Network (RAN) という2つの事例を通じて、富士通のAI戦略について説明します。前半は、企業向けのAIソリューションについて説明します。企業での生成AIの導入においては、多様で大量な企業データの取り扱い、企業ごとの様々なユースケースへの対応、企業規則や法令への準拠などの課題があります。これらの課題を解決するソリューションとして、富士通のエンタープライズ生成AIフレームワークと、このフレームワークにおけるキーテクノロジーとしてLLM「Takane」、PRIMERGY CDI (Composable Disaggregated Infrastructure) などを紹介します。後半は、通信業界に焦点を置き、イノベーションと効率化を推進するためのAIとRANの統合について説明します。富士通はAIを活用することで、ネットワークの性能を向上させ、運用コストを削減し、エンドユーザーエクスペリエンスの品質を向上させることを目指しています。イノベーションを推進する上でのAIの役割について、一緒に掘り下げてみませんか。このセッションに参加することで、AIにおける課題とオポチュニティー、課題を解決する富士通のAI技術、適用事例等について学ぶことができます。
"ソフトバンクが考える AI - RAN の基盤技術と AI ユースケース, presented by ソフトバンク株式会社 [SJP1106]",本講演では、ソフトバンクが実現するAI-RANの姿と、それに向けた具体的な取り組みをご紹介します。私たちの考えるAI-RANは、通信業界のみならず社会全体に革新的な影響をもたらす可能性を秘めています。AI-RANの特徴や強み、具体的な活用事例、将来の展望について、現在進めている開発状況を交えて詳しくお伝えします。ぜひ会場で、ソフトバンクが描くAI-RANの未来をご体感ください。
事前学習したAIを用いた産業用ロボットのSim to Real最前線 [SJP1033],"産業用ロボットは、多くの製造業の自動化に欠かせない構成要素として機能してきた。しかしながら、モノづくりの中身が大量生産から多品種少量生産に移行する中で、生産現場では機械に置き換えられない複雑なタスクの多くは未だに自動化されずに残っている。このようなタスクを自動化するには、事前に学習されたAIモデルを用いる手法が提唱されているが、SimulationとReal Worldとの乖離などの課題により、多くの意欲的なAIモデルによるチャレンジが現場ではうまく働かず実用化にいたっていない。
NVIDIAのシミュレーション技術と産業用ロボットメーカの制御モデルの相互協力により、Sim to Realのギャップを埋め、Simulatorでの学習結果をそのまま現実世界で活用するための解決策について、最新の取組みを交えて紹介する。

"
企業活動および社会基盤で AI を活用するうえでの勘所 presented by 日本オラクル株式会社 [SJP1101],"企業活動において、付加価値業務に経営資源を寄せるべく間接業務の効率化および省人化の手段として、もしくは意思決定の精度向上の手段としてAIに注目が集まっています。また、労働生産人口の低下、防災など社会課題の解決手段としてもAIに対する期待はますます高まっています。
一方、取り扱いに神経質にならざるを得ない情報・データを如何に安心・安全に取り扱いつつAIがもたらす価値を最大化させるか、といった課題に直面されている方々も少なくありません。本セッションでは、安心・安全にAIを活用するうえで役立つ勘所をご紹介いたします。"
（同時通訳付）A Deep Dive Into Architecting DGX Blackwell Clusters for Generative AI [SJP1038],"生成 AI モデルの種類やサイズ及びその処理スピードへのニーズが高まり続ける中、コンピューティング インフラはこれらを確実に処理できるように適応する必要があります。Blackwell アーキテクチャを導入する際にそのニーズに以下に対応するかについて、その性能、電力、熱（空冷と液冷）の最適なトレードオフを可能にする DGX システム、ネットワーク ファブリック、インターコネクト、ストレージの設計に関する哲学と方法論をご説明します。DGX スーパーコンピュータである Eos と Selene の設計者による当講演によって、生成 AI のニーズを満たす次世代クラスタをどのように構築しているかについての理解を深めていただけます。



As the variety and size of generative AI models and the processing needs continue to increase, the compute infrastructure needs to adapt to be able to handle these reliably. As we deploy with NVIDIA Blackwell architecture, we’ll review the philosophy and methodology behind the designs of NVIDIA DGX™ systems, network fabric, interconnect, and storage needed to enable optimal trade-offs among performance, power, and thermal (air-cool and liquid-cool). You’ll meet the architects of DGX supercomputers Eos and Selene and gain insights to how they're creating next-gen clusters to power your generative AI needs"
自然着想型アプローチによる基盤モデルの研究開発 [SJP1048],Sakana AI は、自然から着想を得たアプローチで最先端の基盤モデルを進化させるという分野を切り開いています。今年の3月には、大規模言語モデル(LLM)を含む複数の基盤モデルの統合を自動化する方法を開発し、さらに6月には、LLM を使って、LLM をより効率的にトレーニングする方法を発見しました。本セッションでは、これら Sakana AI における最新の研究開発の成果についてご紹介します。
